Title: Estimation of stellar ages and masses using Gaussian process regression 
Authors: Bu Y., Kumar Y.B., Xie J., Pan J., Zhao G., Wu Y. 
Table: Masses and ages of stars from Ness data set
================================================================================
Byte-by-byte Description of file: apjsab8bcdt8_mrt.txt
--------------------------------------------------------------------------------
   Bytes Format Units     Label  Explanations
--------------------------------------------------------------------------------
   1-  8 F8.4   deg       RAdeg         Right Ascension, decimal degrees (J2000)
  10- 16 F7.4   deg       DEdeg         Declination, decimal degrees (J2000)
  18- 21 I4     K         Teff          Temperature derived from LAMOST spectra (1)
  23- 26 F4.2   [cm/s2]   logg          log g derived from LAMOST spectra (1)
  28- 33 F6.3   [-]       [Fe/H]        Metallicity derived from LAMOST spectra (1)
  35- 39 F5.2   [-]       [alpha/Fe]    {alpha} abundance derived from LAMOST spectra (1)
  41- 44 F4.2   Msun      Mass-in       Mass given by the Cannon (1)
  46- 49 F4.2   Msun      Mass-G        Mass given by GPR
  51- 55 F5.2   Gyr       Age-G         Age given by GPR
--------------------------------------------------------------------------------
Note (1): Values taken from Ness et al. (2016ApJ...823..114N)
--------------------------------------------------------------------------------
324.9013  2.8764 4949 3.20 -0.147  0.08 1.44 1.32  5.54 
324.9200  7.2564 4678 2.67  0.174  0.03 1.15 1.57  3.90 
324.9225  2.0272 4467 1.91 -0.432  0.12 1.02 1.23  5.18 
324.9326  9.5067 4803 2.91  0.091  0.02 0.83 1.78  5.05 
324.9749  8.4742 4656 2.43  0.061  0.02 1.55 1.52  4.77 
324.9874  6.4894 4501 2.36 -0.219  0.15 1.25 1.05  8.53 
325.0007  9.7786 4863 2.97 -0.025  0.05 1.24 1.57  4.92 
325.0087  9.0628 4802 2.50 -0.077  0.05 1.79 1.47  3.89 
325.0200  9.7328 4795 2.50 -0.448  0.11 1.19 1.25  4.72 
325.0250  0.4611 4855 2.93 -0.216  0.11 1.35 1.34  5.37 
325.0489  5.4014 4897 3.15 -0.294  0.18 1.13 1.12  5.86 
325.0492  9.2294 4764 2.89 -0.045  0.11 0.97 1.30  6.94 
325.0530  6.6031 4553 1.96 -0.091  0.07 1.31 1.32  1.64 
325.0532  4.5658 5042 3.19  0.101  0.02 2.21 1.52  2.58 
325.0784  0.8478 4920 3.18 -0.517  0.17 1.06 1.20  5.76 
325.0865  1.9106 4954 2.62  0.209  0.01 2.52 1.69  1.21 
325.0905  9.0208 4726 2.41  0.287  0.02 1.51 1.46  2.15 
325.0962  2.4950 4609 2.30 -0.130  0.08 1.57 1.27  4.70 
325.1040  2.9689 4659 2.37  0.249  0.03 1.24 1.42  2.87 
325.1055  0.4025 5028 3.22  0.129  0.07 2.22 1.23  2.57 
325.1110  3.3392 4158 1.42 -0.243  0.07 1.44 1.44  2.30 
325.1164  3.7981 5027 3.13  0.142  0.06 1.59 1.34  1.79 
325.1294  8.7689 4921 3.04  0.106  0.05 1.18 1.51  3.05 
325.1328  8.5992 4631 2.75  0.092  0.15 1.09 1.09  8.77 
325.1340  5.9417 4821 2.96  0.025  0.09 1.41 1.35  5.41 
325.1357  2.4831 4792 2.80 -0.070  0.12 1.33 1.23  4.53 
325.1366  3.1428 4366 1.84  0.090  0.04 1.43 1.41  3.55 
325.1368  4.8403 4702 2.59  0.201  0.05 2.17 1.41  3.35 
325.1372  1.5217 4501 2.23  0.158  0.05 1.44 1.30  4.40 
325.1525  7.6917 4707 2.54 -0.625  0.26 1.14 0.95  7.68 
325.1595  9.1997 4758 2.70  0.165  0.05 2.27 1.46  2.86 
325.1633  6.6775 4961 2.54 -0.055  0.08 1.17 1.32  2.84 
325.1642  6.7853 4407 2.00 -0.122  0.05 1.22 1.35  3.96 
325.1746  1.6658 4525 1.95 -0.348  0.05 1.33 1.39  3.09 
325.1985  0.2197 4698 2.27 -0.377  0.16 1.50 1.05  5.90 
325.1985  8.7339 4908 2.40 -0.438  0.06 1.15 1.40  3.34 
325.2027  1.5997 4776 2.72  0.192  0.06 1.10 1.44  2.56 
325.2180  3.9642 4241 1.74 -0.044  0.08 1.05 1.34  6.75 
325.2203  7.1756 4812 2.38 -0.288  0.17 0.91 1.00  7.76 
325.2212  0.5461 4993 2.83 -0.242  0.04 1.60 1.73  1.78 
325.2258  3.7406 4882 2.83  0.177  0.08 2.33 1.36  1.99 
325.2280  3.4031 4785 3.18  0.202  0.09 1.11 1.17 10.07 
325.2350  1.7528 4668 2.68 -0.006  0.06 1.24 1.47  5.95 
325.2387  4.1683 4580 2.25 -0.451  0.24 0.96 0.91  9.43 
325.2441  3.1842 4627 2.25  0.105  0.08 1.36 1.19  4.32 
325.2959  7.3961 4834 2.80 -0.067  0.06 1.02 1.54  3.41 
325.3031  4.1997 5002 3.29 -0.361  0.13 1.37 1.15  5.56 
325.3070  1.7233 4942 2.38 -0.430  0.12 1.04 1.16  3.81 
325.3224  2.1269 4994 3.21 -0.126  0.08 1.40 1.29  3.99 
325.3385  7.4989 4252 1.44 -0.363  0.15 1.52 1.26  2.87 
325.3495  5.1900 4829 2.78 -0.611  0.21 1.20 1.13  6.52 
325.3498  2.4344 4947 2.53 -0.344  0.15 1.02 1.11  4.39 
325.3514  2.8347 4790 2.77 -0.215  0.10 1.40 1.34  5.00 
325.3518  6.4389 4821 2.61 -0.048  0.06 1.28 1.45  3.24 
325.3537  0.3144 4723 2.67 -0.190  0.07 1.22 1.45  5.72 
325.3538  6.3544 4842 2.42 -0.139  0.16 1.10 1.02  8.93 
325.3546  3.6047 4103 1.40 -0.097  0.06 1.49 1.49  3.17 
325.3671  8.3478 4323 1.65 -0.297  0.08 1.56 1.36  3.07 
325.3780  1.6364 4784 2.47 -0.351  0.04 1.19 1.52  5.01 
325.3960  6.8917 4786 2.44  0.050  0.04 1.11 1.43  3.49 
325.3996  9.1178 4655 2.29 -0.227  0.09 1.99 1.23  4.25 
325.4029  2.6119 4651 2.70  0.100  0.05 1.02 1.50  5.59 
325.4129  1.2625 4441 2.49  0.069  0.12 0.74 1.11  9.88 
325.4227  4.9647 4786 2.42 -0.096  0.07 1.70 1.33  4.03 
325.4353  7.0172 4294 1.55 -0.072  0.03 1.69 1.47  2.03 
325.4357  4.5336 4750 2.45 -0.210  0.14 1.04 1.09  6.81 
325.4359  4.5889 4168 1.46 -0.069  0.05 1.34 1.46  3.16 
325.4397  2.1481 4195 1.85 -0.065  0.13 1.10 1.18 12.00 
325.4523  7.2472 4313 1.65 -0.145  0.04 1.40 1.43  2.54 
325.4542  8.8644 4983 2.87  0.269 -0.00 3.00 1.88  0.72 
325.4635  9.7106 4957 3.17 -0.473  0.19 1.16 1.16  4.36 
325.4755  9.2911 4996 3.21 -0.061  0.04 1.51 1.43  4.40 
325.4801  7.4267 4227 1.45 -0.466  0.15 1.26 1.26  3.40 
325.4835  6.5017 4918 2.37 -0.368  0.15 1.09 1.07  5.06 
325.4842  0.7286 4910 2.82 -0.337  0.14 1.85 1.25  3.24 
325.4905  7.4803 4430 1.97 -0.044  0.06 1.42 1.34  3.13 
325.5082  9.9089 4713 2.83  0.069  0.05 1.28 1.52  6.54 
325.5204  7.4058 4638 2.61 -0.491  0.24 0.95 0.98  7.99 
325.5233  8.5133 4602 2.48  0.014  0.05 1.23 1.43  6.25 
325.5240  8.0550 4789 2.36 -0.153  0.09 0.91 1.22  3.96 
325.5249  5.2011 4320 1.92  0.011  0.07 1.40 1.31  5.86 
325.5271  6.3039 4745 2.86  0.146  0.08 1.37 1.34  5.20 
325.5384  7.2781 4901 2.69 -0.101  0.20 0.76 1.00  4.72 
325.5415  4.4594 4539 1.98 -0.517  0.10 1.20 1.27  5.15 
325.5416  8.5303 4282 1.55 -0.451  0.14 1.36 1.26  4.04 
325.5442  3.9239 4738 2.21 -0.345  0.08 3.22 1.26  2.67 
325.5625  9.9619 4759 3.08  0.021  0.10 1.17 1.26 12.21 
325.5629  7.8764 4684 2.74  0.003  0.07 1.04 1.45  6.23 
325.5702  8.6197 4508 2.07 -0.055  0.12 1.31 1.13  3.44 
325.5815  3.2269 4710 2.77 -0.108  0.20 1.17 1.03  6.87 
325.5908  5.3297 4806 2.45  0.013  0.06 1.17 1.33  3.98 
325.6060  6.3381 4509 2.36  0.235  0.05 1.55 1.33  5.26 
325.6080  1.8094 4652 2.54 -0.339  0.24 0.95 0.93  7.73 
325.6262  6.6364 4810 2.88  0.155  0.06 2.07 1.49  3.31 
325.6265  0.4447 4511 1.93 -0.018  0.01 2.11 1.50  1.42 
325.6458  2.6717 4237 1.62 -0.166  0.06 1.36 1.41  3.22 
325.6505  4.6844 4339 1.69 -0.137  0.05 1.80 1.41  2.89 
325.6547  5.2903 4505 2.23  0.165  0.03 2.11 1.38  3.51 
325.6589  2.2833 4894 2.49 -0.159  0.05 1.03 1.48  3.11 
325.6593  0.3069 4750 2.55  0.274  0.04 1.59 1.44  2.38 
325.6617  5.8058 4910 2.42 -0.348  0.11 1.16 1.20  3.75 
325.6740  0.5364 4972 3.08  0.008  0.08 2.38 1.35  2.67 
